GPU: NVIDIA GeForce RTX 2070
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Modèle chargé avec succès ! Epsilon réglé à 0.3
Démarrage de l'entraînement...
--> Démarrage entraînement avec Epsilon = 0.3
Ep 3530 | Score: -2800 | Loss: 2954766.00 | Eps: 0.10
Ep 3540 | Score: -5800 | Loss: 1538569.25 | Eps: 0.10
Ep 3550 | Score: -4600 | Loss: 288115.75 | Eps: 0.10
Ep 3560 | Score: 0 | Loss: 16513044.00 | Eps: 0.10
Ep 3570 | Score: -1000 | Loss: 8290391.00 | Eps: 0.10
Ep 3580 | Score: -5600 | Loss: 2139408.75 | Eps: 0.10
Ep 3590 | Score: -2600 | Loss: 3206042.25 | Eps: 0.10
Ep 3600 | Score: 0 | Loss: 10024993.00 | Eps: 0.10
Ep 3610 | Score: 0 | Loss: 10850727.00 | Eps: 0.10
Ep 3620 | Score: -7400 | Loss: 7340771.50 | Eps: 0.10
Ep 3630 | Score: -9000 | Loss: 19116172.00 | Eps: 0.10
Ep 3640 | Score: -7600 | Loss: 16657801.00 | Eps: 0.10
Ep 3650 | Score: -7400 | Loss: 7278316.00 | Eps: 0.10
Ep 3660 | Score: -3400 | Loss: 2029819.50 | Eps: 0.10
Ep 3670 | Score: -6400 | Loss: 3622517.50 | Eps: 0.10
Ep 3680 | Score: 0 | Loss: 12534388.00 | Eps: 0.10
